Item,Fecha,Producto,Ubicación,Stock
63,2018-02-01,CREMA HIDRATANTE BIO MILK COCO CARIBEÑO,D-2-1,23
64,2018-02-01,BIO MILK CREMA HIDRATANTE ORIGINAL,D-2-2,7
65,2018-02-01,BIO MILK CREMA HIDRATANTE ORIGINAL  EDICION NAVIDAD,D-2-2,2
66,2018-02-01,BIO MILK CREMA MANGO MARAC,D-2-2,20
67,2018-02-01,CREMA HIDRATANTE BIO MILK FRESA FRAMBUESA (A/P),D-2-1,4
68,2018-02-01,CREMA HIDRATANTE BIO MILK FRESA FRAMBUESA A/P,D-2-1,18
69,2018-02-01,BIO MILK MANOS COCO CARIBEÑO,D-3-2,25
70,2018-02-01,BIO MILK CREMA PARA MANOS FRESA FRAMBUESA,D-3-1,35
71,2018-02-01,BIO MILK CREMA PARA MANOS PERA MANZANA,D-3-1,45
72,2018-02-01,CREMA HIDRATANTE BIO MILK PERA MANZANA,D-2-1,12
73,2018-02-01,BOLSA COLECCION DESEO,G-4-1,34
74,2018-02-01,BODY SPA BABY COLONIA,E-6-1,12
75,2018-02-01,BODY SPA BABY SHAMPOO,E-6-2,11
76,2018-02-01,BS KIDS COLONIA NIÑAS,E-5-2,21
77,2018-02-01,BS KIDS COLONIA NIÑOS,E-5-2,41
78,2018-02-01,BS KIDS PITAHAYA SHA Y ACON NIÑA,E-6-1,22
79,2018-02-01,BS KIDS PITAHAYA SH Y ACON NIÑO,E-6-1,12
80,2018-02-01,BODY SPA LECHE & AVENA CREMA CUERPO,D-6-2,1
81,2018-02-01,BODY SPA LECHE & AVENA CREMA MANOS,D-6-2,8
82,2018-02-01,BODY SPA QUINUA CREMA MANOS,D-5-2,8
83,2018-02-01,BODY SPA UÑA DE GATO ACONDICIONADOR REPARADOR,D-4-1,7
84,2018-02-01,BODY SPA UÑA DE GATO CREMA REPARADORA PARA CUERPO,D-4-2,5
85,2018-02-01,BODY SPA UÑA DE GATO CREMA REPARADORA PARA MANOS,D-4-2,20
86,2018-02-01,BODY SPA UÑA DE GATO CREMA REPARADORA A/P,D-4-2,14
87,2018-02-01,BODY SPA UÑA DE GATO CREMA REPARADORA PARA MANOS A/P,D-4-2,2
88,2018-02-01,BODY SPA UÑA DE GATO EXFOLIANTE EN GEL PARA MANOS Y CUERPO A/P,D-4-1,44
89,2018-02-01,BODY SPA UÑA DE GATO EXFOLIANTE EN GEL PARA MANOS Y CUERPO ,D-4-1,1
90,2018-02-01,BODY SPA UÑA DE GATO SHAMPOO REPARADOR,D-4-1,1
91,2018-02-01,C/S COLOR EFFECT DELUXE,F-3-1,1
92,2018-02-01,C/S COLOR EFFECT ETEREA,F-3-1,6
93,2018-02-01,C/S COLOR EFFECT FUROR AZUL,F-3-1,3
94,2018-02-01,C/S COLOR EFFECT FUROR AZUL,F-3-1,5
95,2018-02-01,C/S COLOR EFFECT HABANA,F-3-1,11
96,2018-02-01,C/S COLOR EFFECT INDUSTRIAL,F-3-1,6
97,2018-02-01,C/S COLOR EFFECT JUNGLARIA,F-3-1,7
98,2018-02-01,C/S COLOR EFFECT MORADO CHIC,F-3-1,3
99,2018-02-01,C/S COLOR EFFECT ROMANCE,F-3-1,7
100,2018-02-01,C/S COLOR EFFECT ROMANTIC ROSE,F-3-1,4
101,2018-02-01,C/S COLOR EFFECT SAKURA,F-3-1,2
102,2018-02-01,C/S COLOR EFFECT SAVANNA,F-3-1,8
103,2018-02-01,C/S COLOR EFFECT SMOKY ARENHA,F-3-1,5
104,2018-02-01,C/S COLOR EFFECT SMOKY GLAM,F-3-1,6
105,2018-02-01,C/S COLOR EFFECT TERRANOVA,F-3-1,9
106,2018-02-01,C/S COLOR EFFECT URBANA,F-3-1,1
107,2018-02-01,C/S COLOR EFFECT VIVA JADE,F-3-1,3
108,2018-02-01,CCORI BODY LOTION,B-5-2,18
109,2018-02-01,CCORI CRISTAL DESODORANTE A/P,B-5-1,21
110,2018-02-01,CCORI CRISTAL LEAU DE PARFUM,B-2-2,34
111,2018-02-01,CCORI DESODORANTE A/P,B-5-1,10
112,2018-02-01,CCORI DESODORANTE,B-5-1,4
113,2018-02-01,CCORI LE PARFUM,B-2-2,6
114,2018-02-01,CCORI LE PARFUM ANV,B-2-2,6
115,2018-02-01,CCORI PASION BODY LOTION,B-5-1,17
116,2018-02-01,CCORI PASION DESODORANTE A/P,B-5-1,30
117,2018-02-01,CCORI PASION DESODORANTE,B-5-1,5
118,2018-02-01,CCORI PASION LE PARFUM,B-2-1,17
119,2018-02-01,CIELO EAU DE PARFUM,B-1-1,18
120,2018-02-01,CONTROL BLANC RX ACLARANTE ANTI-EDAD,H-4-2,35
121,2018-02-01,CONTROL BLANC RX CREMA ACLARANTE,H-4-1,47
122,2018-02-01,CONTROL BLANC RX DIA,H-4-1,43
123,2018-02-01,CONTROL BLANC RX LIMPIADOR EXFOLIANTE TONIFICANTE,H-4-1,15
124,2018-02-01,DENDUR COLOGNE FOR MEN,C-1-2,20
125,2018-02-01,DI QUE SI EAU DE PARFUM,B-2-1,2
126,2018-02-01,DUETTE MARRON / NEGRO HUMO,F-1-2,30
127,2018-02-01,DULCE VANIDAD EAU DE PARFUM,B-2-1,21
128,2018-02-01,EAU DE SEDA DIAMANTES EAU DE PARFUM,B-4-1,33
129,2018-02-01,EAU DE SEDA EAU DE PARFUM ANIVERSARIO,B-3-2,2
130,2018-02-01,EAU DE SEDA EAU DE PARFUM ORIGINAL,B-3-2,29
131,2018-02-01,EAU VITALE LAVANDA COLONIA 200 ML,E-1-1,16
132,2018-02-01,EAU VITALE TE VERDE COLONIA 200ML,E-1-2,28
133,2018-02-01,EAU VITALE TE VERDE COLONIA A/P,E-1-2,6
134,2018-02-01,EFFECTIVE BRISA FLORAL DESODORANTE,D-5-2,27
135,2018-02-01,EFFECTIVE ORIGINAL DESODORANTE,D-5-2,15
136,2018-02-01,ELIXIR DE VIDA CREMA DE OJOS,H-3-1,19
137,2018-02-01,ELIXIR DE VIDA GEL TONICO,H-3-1,9
138,2018-02-01,ELIXIR DE VIDA HIDRATANTE,H-3-1,17
139,2018-02-01,ELIXIR DE VIDA LIMPIADOR,H-3-1,23
140,2018-02-01,ELIXIR DE VIDA ROSTRO,H-3-2,28
141,2018-02-01,ELIXIR DE VIDA ROSTRO ANIVERSARIO,H-3-2,20
142,2018-02-01,ELIXIR DE VIDA SUERO RECONSTITUYENTE,H-3-2,8
143,2018-02-01,ESMALTE PERFECT TEN ADAMANTIUM,G-1-4,2
144,2018-02-01,ESMALTE PERFECT TEN ALGAS MARIN FR,G-1-4,1
145,2018-02-01,ESM PERFECT TEN AMANT D MEDIAN,G-6-4,3
146,2018-02-01,ESM PERFECT TEN AMANTES Y ENEM,G-6-4,7
147,2018-02-01,ESMALTE PERFECT TEN ARENA DEL DESIERTO,G-6-4,7
148,2018-02-01,ESMALTE PERFECT TEN AZUL INFINITO,G-4-4,4
149,2018-02-01,ESMALTE PERFECT TEN AZUL MAGICO,G-4-4,4
150,2018-02-01,ESMALTE PERFECT TEN AZUL PLATINAD,G-4-4,6
151,2018-02-01,ESMALTE PERFECT TEN BEIGE ETERNAL,G-5-4,5
152,2018-02-01,ESMALTE  PERFECT TEN BLANCO NIEVE,G-3-4,33
153,2018-02-01,ESMALTE PERFECT TEN BLAC KCHERRY,G-5-4,7
154,2018-02-01,ESMALTE PERFECT TEN BOSQUE D NOCHE,G-4-4,2
155,2018-02-01,ESMALTE PERFECT TEN BRILLO D ESTRE,G-1-4,3
156,2018-02-01,ESMALTE PERFECT TEN BRILLOS DE ROS,G-5-4,6
157,2018-02-01,ESMALTE PERFECT TEN BURGUNDY,G-3-4,17
158,2018-02-01,ESMALTE  PERFECT TEN COBRE LIQUIDO,G-1-4,2
159,2018-02-01,ESMALTE PERFECT TEN COLORADA,G-2-4,8
160,2018-02-01,ESMALTE PERFECT TEN DARK RED,G-5-4,4
161,2018-02-01,ESMALTE PERFECT TEN DORADO VERSALLES,G-3-4,16
162,2018-02-01,ESM PERFECT TEN DUNAS,G-6-4,5
163,2018-02-01,ESMALTE PERFECT TEN FLOR DE CIRUELA,G-5-4,1
164,2018-02-01,ESMALTE PERFECT TEN FLORESTA,G-4-4,3
165,2018-02-01,ESMALTE PERFECT TEN FRAMBUESA 180,G-5-4,6
166,2018-02-01,ESMALTE PERFECT TEN FUCSIA TECNOLO,G-5-4,4
167,2018-02-01,ESMALTE PERFECT TEN GOLD SHIM,G-1-4,2
168,2018-02-01,ESM PERFECT TEN INSTINTO ANIMA,G-3-4,10
169,2018-02-01,ESMALTE PERFECT TEN INTENSO AMANEC,G-2-4,4
170,2018-02-01,ESMALTE PERFECT TEN LILA RETRO,G-2-4,7
171,2018-02-01,ESMALTE PERFECT TEN MAAAMBO,G-2-4,2
172,2018-02-01,ESMALTE PERFECT TEN MADERA AFRICANA,G-6-4,4
173,2018-02-01,ESMALTE PERFECT TEN MELON COBRIZO,G-3-4,49
174,2018-02-01,ESMALTE PERFECT TEN MENTA CRISTAL,G-4-4,3
175,2018-02-01,ESMALTE PERFECT TEN METALICA ROSE,G-5-4,3
176,2018-02-01,ESMALTE PERFECT TEN MOJITO CARIBEÑ,G-1-4,4
177,2018-02-01,ESMALTE PERFECT TEN PARTY RED,G-5-4,3
178,2018-02-01,ESMALTE PERFECT TEN PASION,G-2-4,16
179,2018-02-01,ESMALTE PERFECT TEN PLACER ABSOLUT,G-3-4,29
180,2018-02-01,ESMALTE PERFECT TEN PURPURA GLAMOU,G-6-4,12
181,2018-02-01,ESMALTE PERFECT TEN PURPURA TRIBAL,G-5-4,7
182,2018-02-01,ESMALTE PERFECT TEN RED LINE,G-2-4,6
183,2018-02-01,ESMALTE PERFECT TEN ROJO CUARZO,G-2-4,12
184,2018-02-01,ESMALTE PERFECT TEN ROJO DE GALA,G-2-4,6
185,2018-02-01,ESMALTE PERFECT TEN ROJO PRIMITIVO,G-2-4,8
186,2018-02-01,ESMALTE PERFECT TEN ROSA 3D,G-2-4,5
187,2018-02-01,ESMALTE PERFECT TEN ROSA ELECTRICO,G-2-4,23
188,2018-02-01,ESMALTE PERFECT TEN SALVAJE,G-6-4,2
189,2018-02-01,ESMALTE PERFECT TEN SELVA MISTERIOSA,G-4-4,1
190,2018-02-01,ESMALTE  PERFECT TEN SOL DE CARIBE,G-6-4,3
191,2018-02-01,ESMALTE PERFECT TEN SON DE MORA,G-1-4,4
192,2018-02-01,ESMALTE PERFECT TEN SUAVE LAVANDA,G-5-4,2
193,2018-02-01,ESMALTE PERFECT TEN SUSPIRO DE ROSA,G-5-4,2
194,2018-02-01,ESMALTE PERFECT TEN TE QUIERO ROSA,G-2-4,8
195,2018-02-01,ESMALTE PERFECT TEN TERRA AFRICANA,G-6-4,4
196,2018-02-01,ESMALTE PERFECT TEN TIERRA VOLCANI,G-1-4,7
197,2018-02-01,ESMALTE PERFECT TEN VERDE FEM,G-6-4,14
198,2018-02-01,ESMALTE PERFECT TEN VERDE RUMBA,G-4-4,3
199,2018-02-01,ESMALTE PERFECT TEN WHITE ROSE,G-5-4,2
200,2018-02-01,ESPONJA DE BAÑO KONJAC,G-5-1,2
201,2018-02-01,FOCCO COLOGNE FOR MEN,C-2-1,10
202,2018-02-01,FORTE COLOGNE FOR MEN,C-3-2,7
203,2018-02-01,GAIA DESODORANTE A/P,B-6-2,28
204,2018-02-01,GAIA DESODORANTE,B-6-2,1
205,2018-02-01,GAIA EAU DE PARFUM,B-3-2,30
206,2018-02-01,GAIA EAU DE PARFUM EDICION LIMITADA,B-3-2,11
207,2018-02-01,INDOMITO COLOGNE FOR MEN,C-4-1,19
208,2018-02-01,JAQUE COLOGNE FOR MEN A/P,C-3-2,5
209,2018-02-01,LABIAL ANTI-EDAD ELIXIR DE VIDA TERRA ELIXIR ,G-5-3,2
210,2018-02-01,L/L ELIXIR DE VIDA ELIX D AMOR,G-5-3,2
211,2018-02-01,LABIEL ANTI-EDAD ELIXIR DE VIDA ELIXIR FEME,G-5-3,1
212,2018-02-01,LABIAL ANTI-EDAD  ELIXIR DE VIDA ELIXIR ROSE,G-5-3,5
213,2018-02-01,LABIAL ANTI-EDAD ELIXIR DE VIDA ENCANTO ELIXIR,G-5-3,5
214,2018-02-01,LABIAL ANTI-EDAD ELIXIR DE VIDA LUJO ELIXIR,G-5-3,3
215,2018-02-01,L/L HYDRA-LIP COL BAILE  ROSA ANIVERSARIO,G-2-3,2
216,2018-02-01,L/L HYDRA-LIP COL CORA CAR FR,G-2-3,12
217,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO ESTRELLA CORAL,G-2-3,2
218,2018-02-01,L/L HYDRA-LIP COL FUC PELI ANV,G-2-3,1
219,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO HABANERA,G-3-3,3
220,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO MARRON INDUSTRIAL,G-3-3,52
221,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO PSICODELIC  FUCSIA,G-2-3,3
222,2018-02-01,L/L HYDRA-LIP COL ROJO PAS ANV,G-3-3,2
223,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO ROSA SIRENA,G-3-3,4
224,2018-02-01, HYDRA  LIP LABIAL COLOR INTENSO ROSA DEL ORIENTE,G-3-3,3
225,2018-02-01,HYDRA-LIP LABIAL COLOR INTENSO COBRE GLAMOUR,G-4-3,33
226,2018-02-01,HYDRA-LIP LABIAL COLOR INTENSO COLO DORADO DE GALA,G-2-3,16
227,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO ALMENDRADO,G-2-3,14
228,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO AMBRE,G-4-2,1
229,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO BAILE ROSA,G-2-3,9
230,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  BESO FRAMBUESA,G-4-3,48
231,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  CHOCOLAT MOUSSE,G-4-3,27
232,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  CLARO ROMANCE,G-5-3,5
233,2018-02-01,HYDRA-LIP LABIAL COLOR INTENSO CORAL&COLOR RAL&COLO,G-2-3,11
234,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO DULCE ROSA,G-3-3,3
235,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO FUCSIA PELIGROSA,G-2-3,10
236,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO FUTURISTIC RED,G-2-3,2
237,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  GEOMETRIC ROSE,G-5-3,11
238,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  GUINDA ETNICO,G-3-3,34
239,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  MORA ZEN,G-4-3,26
240,2018-02-01,HIDRA LIP LABIAL COLOR INTENSO MUSA,G-2-3,12
241,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  REINO CORAL,G-3-2,2
242,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  ROJO ABBA,G-5-3,5
243,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO ROJO AFRICA,G-2-3,5
244,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  ROJO DISCO,G-4-3,5
245,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO ROJO PASION,G-3-3,36
246,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO ROJO SALVAJE,G-3-3,2
247,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO ROJO ZEN,G-3-3,1
248,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO ROSA GALACTICO,G-3-3,26
249,2018-02-01,HYDRA LIP COLOR INTENSO ROSA TOSCANA,G-2-3,9
250,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO ROSADO ACERO,G-3-3,20
251,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO ROSE CORAL,G-2-3,6
252,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO RUMORES,G-3-3,18
253,2018-02-01,L/L HYDRA-LIP COLOR SUEÑO ROSE,G-4-3,51
254,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  COLOR TENTACION,G-4-3,15
255,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO  TERCIOPELO  NEGRO,G-4-3,35
256,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO TROPICANA,G-2-3,5
257,2018-02-01,HYDRA LIP LABIAL COLOR INTENSO VAINILLA CORAL,G-2-3,12
258,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO VINO REAL,G-3-3,2
259,2018-02-01, HYDRA-LIP LABIAL COLOR INTENSO VINO SILVESTRE,G-3-3,4
260,2018-02-01,L/L HYDRA-LIP CRAY ALMEND CHIC MY,G-6-3,40
261,2018-02-01,L/L HYDRA-LIP CRAY LIL ASIATIC MY,G-6-3,2
262,2018-02-01,HYDRA-LIP CRAYON SEMI MATE MARRON TERRA,G-6-3,2
263,2018-02-01,HYDRA-LIP CRAYON SEMI MATE PIEL CORAL ,G-6-3,3
264,2018-02-01,L/L HYDRA-LIP CRAY RED ELEGANC MY,G-6-3,21
265,2018-02-01,HYDRA-LIP CRAYON SEMI MATE ROJO SAFARI ,G-6-3,4
266,2018-02-01,HYDRA-LIP CRAYON SEMI MATE ALMENDRA CHIC,G-6-3,2
267,2018-02-01,HYDRA-LIP CRAYON SEMI MATE FUCSIA ORIENTAL,G-6-3,2
268,2018-02-01, HYDRA-LIP CRAYON SEMI MATE LILA ASIATICO,G-6-3,2
269,2018-02-01,HYDRA-LIP CRAYON SEMI MATE RED ELEGANCE,G-6-3,1
270,2018-02-01,HYDRA-LIP CRAYON SEMI MATE SEXY RED,G-6-3,7
271,2018-02-01,HYDRA-LIP LARGA DURACION A/P  AMOR DE  CHOCOLATE,G-6-3,8
272,2018-02-01, HYDRA-LIP LARGA DURACION AMOR DE CHOCOLATE,G-6-3,18
273,2018-02-01, HYDRA-LIP LARGA DURACION AMOR PICANTE ,G-6-3,4
274,2018-02-01,HYDRA-LIP LARGA DURACION BESO GITANO ,G-5-3,4
275,2018-02-01,HYDRA-LIP LARGA DURACION CIRUELA LOVE,G-5-3,12
276,2018-02-01,HYDRA-LIP LARGA DURACION CORAL ENCENDIDO MY,G-6-3,3
277,2018-02-01, HYDRA-LIP LARGA DURACION FUCSIA DE ENSUEÑO MY,G-5-3,1
278,2018-02-01, HYDRA-LIP LARGA DURACION FUCSIA SHOCK,G-6-3,9
279,2018-02-01,HYDRA-LIP LARGA DURACION RED SHINE,G-5-3,10
280,2018-02-01,L/L HYDRA-LIP LD ROJO CARAMEL0,G-5-3,8
281,2018-02-01,HYDRA-LIP LARGA DURACION ROJO INTENSO ,G-6-3,3
282,2018-02-01, HYDRA-LIP LARGA DURACION ROJO SILVESTRE,G-5-3,2
283,2018-02-01,HYDRA-LIP LARGA DURACION ROSA DE MIS SUEÑOS ,G-5-3,1
284,2018-02-01,HYDRA-LIP LARGA DURACION SUEÑO DE BRONCE,G-6-3,11
285,2018-02-01, HYDRA-LIP LARGA DURACION TIERRA DE FUEGO ,G-6-3,4
286,2018-02-01,HYDRA-LIP LARGA DURACION TIERRA MISTICA,G-6-3,8
287,2018-02-01,HYDRA-LIP LABIAL LIQUIDO AZUUUCAR,G-3-2,2
288,2018-02-01,HYDRA-LIP LABIAL LIQUIDO COBRISIMO,G-3-2,2
289,2018-02-01, HYDRA-LIP LABIAL LIQUIDO CREME DE LA FEME,G-2-2,3
290,2018-02-01,HYDRA-LIP LABIAL LIQUIDO FLOR CEREZO,G-3-2,6
291,2018-02-01,HYDRA-LIP LABIAL LIQUIDO FUCSIA TOTAL,G-3-2,3
292,2018-02-01,HYDRA-LIP LABIAL LIQUIDO MORA CALMA,G-4-2,9
293,2018-02-01,HYDRA-LIP LABIAL LIQUIDO ROJO ETERNO,G-4-2,2
294,2018-02-01, HYDRA-LIP LABIAL LIQUIDO ROSA PICANTE,G-3-2,5
295,2018-02-01,HYDRA-LIP LABIAL LIQUIDO UVA MERLOT,G-4-2,8
296,2018-02-01,HYDRA-LIP LABIAL LIQUIDO VARADERO LOVE,G-3-2,7
297,2018-02-01,LASH FICTION RIMEL PESTAÑAS DE PELICULA,F-5-2,47
298,2018-02-01,LESENCE BOUQUET ORIENTAL COLOGNE,E-2-2,38
299,2018-02-01,LESENCE FLORES & FRUTAS COL,E-2-1,6
300,2018-02-01,LESENCE FLORES DE CEREZO COLOGNE,E-2-2,42
301,2018-02-01,LIBERATTA CREMA PERFUM ,B-3-1,2
302,2018-02-01,LIBERATTA NOIRE PARFUM,B-3-1,33
303,2018-02-01,LIBERATTA PARFUM,B-3-1,19
304,2018-02-01,LLUVIA D/LOS ANDES COL ABSOLUT,C-1-1,23
305,2018-02-01,LOCION DE SEDA,B-5-1,28
306,2018-02-01,LOCION DE SEDA DIAMANTES,B-4-2,5
307,2018-02-01,MISS AMOUR EAU DE PARFUM,B-1-2,3
308,2018-02-01,EXTRACTO DIVINO CONCENTRADO 6.5 g.,H-3-2,17
309,2018-02-01,MN TOTAL BLOCK KIDS SPF 70,G-4-1,2
310,2018-02-01,MN TOTAL BLOCK SPF 100 20 G,G-4-1,12
311,2018-02-01,MUSK COLOGNE FOR MEN,C-2-2,17
312,2018-02-01,MUSK COLOGNE FOR MEN A/P,C-2-2,20
313,2018-02-01,NO LIMITS FUTBOL EDITION,C-3-1,51
314,2018-02-01,O/S COLOR EFFECT DIVINA BLUE,F-4-1,1
315,2018-02-01,O/S COLOR EFFECT GOLDEN PARTY,F-4-1,14
316,2018-02-01,O/S COLOR EFFECT NATURAL DIVA,F-4-1,30
317,2018-02-01,O2XYGEN BLANC COLOGNE FOR MEN,C-5-2,1
318,2018-02-01,OHM BLACK COLOGNE SPRAY,C-3-2,7
319,2018-02-01,OHM BLACK DESODORANTE A/P,C-3-2,10
320,2018-02-01,OHM BLACK GEL AFTER SHAVE A/P,C-3-2,2
321,2018-02-01,OHM COLOGNE SPRAY,C-3-1,15
322,2018-02-01,OHM COLOGNE SPRAY ANIVERSARIO,C-3-1,19
323,2018-02-01,OSADIA EAU DE PARFUM,B-2-2,20
324,2018-02-01,OSADIA HOMBRE COLOGNE SPRAY,C-3-2,39
325,2018-02-01,P/C PERFECT COVER CLARO 1,F-2-2,58
326,2018-02-01,P/C PERFECT COVER MEDIANO 1,F-2-2,34
327,2018-02-01,P/C PERFECT COVER MEDIANO 2,F-2-2,63
328,2018-02-01,P/C PERFECT COVER OSCURO 1,F-2-2,2
329,2018-02-01,POLVOS COMPACTOS Y. BEIGE,G-6-2,4
330,2018-02-01,POLVO COMPACTO Y. NUDE,G-6-2,10
331,2018-02-01,P/S PERFECT COVER CLARO 1,F-6-1,6
